Jahr;Geschlecht;Vorname;Anzahl
2008;M;Bleran;1
2008;M;Can;1
2008;W;Catherine;1
2008;W;Célestine;1
2008;M;Chance;1
2008;W;Chanel;1
2008;M;Charles;1
2008;M;Ciwan;1
2008;W;Claire;2
2008;W;Damla;1
2008;M;Dan;4
2008;W;Daria;1
2008;W;Darleen;1
2008;M;Daviel;1
2008;M;Denizcan;1
2008;W;Dhwani;1
2008;W;Dilara;4
2008;M;Dion;1
2008;M;Diyar;1
2008;W;Elena;3
2008;M;Elia;4
2008;M;Elie;1
2008;M;Eliézer;1
2008;W;Elijona;1
2008;W;Elisa;3
2008;M;Elliot;1
2008;W;Elsa;1
2008;W;Emilie;2
2008;M;Emirhan;2
2008;M;Enea;1
2008;M;Eneas;1
2008;W;Enya;2
2008;M;Erand;1
2008;M;Eray;1
2008;M;Ergin;1
2008;W;Erina;1
2008;M;Eyoub;1
2008;W;Fay;1
2008;M;Felix;2
2008;M;Feodor;1
2008;M;Finley;1
2008;M;Florent;1
2008;W;Flurina;2
2008;W;Fluturime;1
2008;W;Franca;2
2008;M;Fridolin;1
2008;M;Fynn;2
2008;M;Gabriel;4
2008;W;Geet;1
2008;W;Geneva;1
2008;W;Genisa;1
2008;M;Giorgio;1
2008;M;Giuliano;3
2008;M;Gökhan;1
2008;M;Habib;1
2008;M;Harris;1
2008;M;Hasan-Ali;1
2008;M;Heval;1
2008;W;Hevin;1
2007;W;Melek;1
2007;W;Melisa;1
2007;M;Miguel;1
2007;M;Mihajlo;1
2007;M;Mikael;1
2007;W;Mila;1
2007;M;Miran;1
2007;W;Mirlinda;1
2007;W;Miyabi;1
2007;M;Muhammed;3
2007;W;Naia;1
2007;W;Nalina;1
2007;W;Nansa;1
2007;W;Nejla;1
2007;M;Nelo;1
2007;W;Nilüfer;1
2007;M;Noel;2
2007;M;Ömer;2
2007;M;Otis;1
2007;M;Pascal;1
2007;M;Pavel;1
2007;M;Philip;1
2007;M;Quentin;2
2007;M;Raban;1
2007;M;Rafman;1
2008;W;Maya;1
2008;W;Mejrem;1
2008;W;Melina;2
2008;W;Meret;6
2008;W;Merve;1
2010;M;George;2
2010;W;Gina;1
2010;W;Giossa;1
2010;M;Hanns;1
2010;W;Hira;1
2010;M;Ilja;2
2010;W;Jael;2
2010;M;Jesper;1
2010;M;Julian;12
2010;M;Leander;3
2010;M;Leard;1
2010;W;Lela;1
2010;W;Leonie;4
2010;W;Letizia;1
2010;W;Liisa;1
2010;W;Louna;1
2010;M;Luan;1
2010;M;Luca;7
2010;W;Magdalena;1
2010;W;Mahisha;1
2010;W;Maiva;1
2010;W;Mara;2
2010;M;Marco;3
2010;W;Margo;1
2010;W;Maria;2
2010;M;Mathis;4
2010;M;Matteo;2
2010;M;Melih;1
2010;W;Mia;8
2008;M;Yuri;3
2009;M;Abdoukarim;1
2009;M;Alfredo;1
2009;W;Aline;3
2009;M;Andrew;1
2009;M;Angel;1
2009;M;Anjo;1
2009;M;Arijan;1
2009;M;Artur;1
2009;W;Avery;1
2009;W;Betelihem;1
2009;M;Eneas;1
2009;M;Ennio;1
2008;W;Chayenne;1
2008;M;Connor;1
2008;M;Dean;1
2008;M;Devran;1
2008;M;Dursun;1
2008;M;Edin;2
2008;M;Eldin;2
2008;W;Elif;1
2008;M;Emund;1
2008;M;Eris;2
2008;M;Etash;1
2008;M;Finn;2
2008;M;Furkan;2
2008;M;Gajanath;1
2008;W;Geneviève;1
2008;W;Georgia;1
2008;W;Ginger;1
2008;M;Henry;1
2008;W;Isabel;1
2008;W;Jada-Beon;1
2008;M;Jannik;1
2008;M;Jason;4
2008;W;Johanna;7
2008;W;Joline;1
2008;M;Julian;9
2008;W;Julieta;1
2008;M;Karl;1
2008;M;Kimi;1
2009;M;Gian;3
2009;W;Helen;1
2009;M;Jonathan;5
2009;W;Katelyn;1
2009;W;Leeni;1
2009;M;Leonard;3
2009;W;Leonor;2
2009;W;Lija;1
2009;W;Lorena;3
2009;M;Luis;4
2009;M;Maris;1
2009;W;Marta;1
2009;W;Mary;1
2009;M;Matheus;1
2009;M;Mathias;1
2009;W;Mathilde;1
2009;W;Matilda;2
2009;M;Max;1
2009;W;Maxima;1
2009;W;Maylea;1
2009;W;Meher;1
2009;M;Merdo;1
2009;W;Mihaela;1
2009;W;Mila;1
2009;W;Milla;3
2009;W;Mireille;1
2009;W;Mirka;1
2009;M;Nando;2
2009;W;Natalia;1
2009;M;Nevio;1
2009;M;Nicolas;1
2009;M;Niculin;1
2009;W;Nila;1
2009;M;Noe;1
2009;W;Nora;6
2009;W;Olga;1
2009;M;Om;1
2009;M;Omer;1
2009;M;Ömer;2
2009;W;Ona;1
2009;W;Paulina;1
2009;W;Periya;1
2009;M;Ramiro;1
2009;M;Raul;1
2009;M;Rayan;1
2009;W;Rena;1
2009;M;Ricardo;1
2009;M;Ronan;1
2009;W;Ruby;1
2009;W;Sadije;1
2009;W;Seadete;1
2009;M;Sebastian;3
2009;M;Sedat;1
2009;W;Selina;1
2009;W;Selinay;1
2009;M;Seyit;1
2009;W;Shania;1
2009;M;Sharmaarke;1
2009;W;Sheila;1
2009;M;Sheliyan;1
2009;W;Sofia;3
2009;W;Suruthi;1
2009;W;Taibah;1
2009;M;Thomas;1
2009;M;Tilo;1
2009;M;Trimor;1
2009;M;Ursin;1
2009;W;Valentina;5
2009;M;Valerio;1
2009;W;Verushka;1
2009;W;Victoria;1
2009;M;Ville;1
2009;M;Vincent;4
2009;M;Vinzenz;1
2009;M;Vitus;2
2009;W;Vjosa;1
2009;M;Yajat;1
2009;W;Yelda;1
2009;W;Yosephine;1
2009;W;Zehra;1
2009;W;Zeynep;3
2009;W;Zoe;3
2009;W;Zoé;1
2010;M;Ahmet;1
2010;M;Akay;1
2010;W;Alea;1
2010;M;Alek;1
2010;M;Alessio;3
2010;W;Alexa;1
2008;W;Lena;1
2008;M;Leo;4
2008;M;Léon;5
2008;W;Leontina;1
2008;W;Letizia;1
2008;W;Lida;1
2008;M;Lirian;1
2008;W;Lisa;5
2008;M;Livio;3
2008;M;Loïc;1
2008;M;Lois;1
2008;M;Lorenzo;2
2008;M;Luca;6
2008;W;Luea;1
2008;M;Luka;1
2008;W;Luna;1
2008;W;Magdalena;2
2008;M;Makilvel;1
2008;W;Malina;1
2008;W;Margarita;1
2008;W;Maria;2
2008;W;Marlene;1
2008;M;Mathieu;1
2008;M;Mattijs;1
2008;M;Maxim;1
2008;W;Medea;1
2008;W;Melanie;2
2008;W;Melek;2
2008;W;Merjem;1
2008;M;Merlin;1
2008;M;Micha;1
2008;W;Mila;1
2008;W;Milena;3
2008;M;Milo;1
2008;M;Moan;1
2008;W;Moriana;1
2008;M;Morris;1
2008;W;Müberra;1
2008;W;Natasha;1
2008;M;Nathanael;1
2008;M;Nico;3
2008;M;Nicolo;2
2008;W;Nika;1
2008;M;Nino;1
2008;W;Noelia;1
2008;M;Omar;1
2008;M;Piyawatt;1
2008;M;Pravin;1
2008;M;Randy;1
2008;W;Rania;1
2008;M;Raphael;2
2008;M;Reeyan;1
2008;M;Ricardo;1
2008;M;Robin;3
2008;W;Ronja;3
2008;W;Salome;1
2008;W;Samreet;1
2008;W;Sanem;1
2008;W;Sara;7
2008;W;Sarai;1
2008;W;Semanur;1
2008;W;Silje;1
2008;W;Sophia;3
2008;M;Srishanth;1
2008;W;Stabrg;1
2008;W;Stella;2
2008;M;Stipe;1
2008;W;Subaiya;1
2008;W;Suna;1
2010;W;Alica;1
